Country,Youth_Policy,Ratification of the African youth charter,2018_Population,Population2018,2018_Percent_Youth,2063_Population,Population2063,2063_Percent_Youth,Youth_Unemployment_2013,Youth_Unemployment_2014,Youth_Unemployment_2015,Youth_Unemployment_2016,Youth_Unemployment_2017,myID,id
Algeria,No,NO,14238474,14238474,34,15490356,15490356,25,25.06,25.78,29.9,24.26,24.3,1,1
Angola,No,YES,10355430,10355430,34,35794601,35794601,36,17,16.95,16.91,18.03,19.09,2,2
Benin,Yes,YES,4031471,4031471,35,10340023,10340023,35,5.41,5.41,5.4,5.28,5.19,3,3
Botswana,Yes,NO,895540,895540,38,1032434,1032434,28,35.51,35.23,35,35.27,35.7,4,4
Burkina Faso,Yes,YES,6927541,6927541,35,19286469,19286469,35,8,8.56,8.56,8.55,8.56,5,5
Burundi,Yes,NO,3935121,3935121,35,11762889,11762889,35,2.74,2.92,2.91,2.96,2.9,6,6
Cabo Verde,Yes,YES,223255,223255,40,198488,198488,26,17.78,17.8,17.83,17.95,17.8,8,8
Cameroon,Yes,YES,8887257,8887257,36,21070662,21070662,34,8.36,9.05,9.05,9.02,8.94,7,7
Central African Republic,Draft,NO,1686389,1686389,36,3694210,3694210,35,11.27,11.41,11.46,11.03,10.61,9,9
Chad,No,YES,5373986,5373986,35,15172980,15172980,36,1.13849,1.13891,1.13936,1.13981,1.14026,10,10
Comoros,No,NO,303309,303309,36,573122,573122,34,9.93,9.91,9.89,9.92,9.95,11,11
Congo,No,YES,1792673,1792673,33,5030903,5030903,34,20.73,20.83,20.72,21.52,22.46,39,39
Cote D'Ivoire,Draft,YES,8833957,8833957,35,22928786,22928786,35,4.03,3.92,3.8,3.71,3.7,23,23
Djibouti,Unclear,YES,382564,382564,39,387572,387572,29,11.47,11.49,11.5,11.62,11.7,13,13
DR Congo,Yes,NO,27863481,27863481,33,90596252,90596252,36,7.3,7.31,7.29,7.29,7.31,12,12
Egypt,Unclear,YES,34227784,34227784,34,51981373,51981373,30,0,0,0,0,0,14,14
Equatorial Guinea,No,NO,530685,530685,40,1182002,1182002,34,11.28,11.32,11.23,12.73,14.16,15,15
Eritrea,No,NO,1897037,1897037,37,3778154,3778154,33,11.43,11.45,11.45,11.36,11.25,16,16
Eswatini,Yes,YES,576496,576496,41,730959,730959,32,53.42,53.49,53.5,54.14,54.78,51,51
Ethiopia,Yes,YES,40597304,40597304,38,69445455,69445455,32,7.06,7.07,7.07,7.27,7.43,17,17
Gabon,Yes,YES,739626,739626,36,1269271,1269271,31,36,35.97,35.98,35.87,35.89,18,18
Gambia,Yes,YES,761107,761107,35,1985613,1985613,36,12.87,12.8,12.86,12.88,12.89,19,19
Ghana,Yes,YES,10611803,10611803,36,19852799,19852799,33,4.56,4.51,4.51,4.72,4.9,20,20
Guinea,Unclear,YES,4610075,4610075,35,11448724,11448724,34,5.55,5.55,5.54,5.54,5.53,21,21
Guinea-Bissau,No,YES,690924,690924,36,1474011,1474011,34,11.45,11.42,11.47,11.54,11.6,22,22
Kenya,Yes,YES,19051135,19051135,37,36605908,36605908,33,26.12,26.15,26.2,26.25,26.21,24,24
Lesotho,Unclear,YES,926018,926018,41,1144409,1144409,32,34.53,34.88,37.97,38.96,38.53,25,25
Liberia,Yes,NO,1705083,1705083,35,4139965,4139965,34,3.25,3.22,3.22,3.25,3.27,26,26
Libya,No,YES,2304100,2304100,36,2051743,2051743,25,44.85,44.61,44.57,45.71,45.95,27,27
Madagascar,Yes,NO,9496657,9496657,36,22473186,22473186,34,1.5,1.99,3.02,3.02,3.02,28,28
Malawi,Yes,YES,7091242,7091242,37,17736166,17736166,34,7.83,7.84,7.79,7.78,7.82,29,29
Mali,No,YES,6377122,6377122,33,20419784,20419784,37,11.09,8.06,18.19,18.08,17.96,30,30
Mauritania,Unclear,YES,1610390,1610390,35,3697561,3697561,34,18,17.99,17.81,17.84,17.93,31,31
Mauritius,Yes,YES,394353,394353,31,251907,251907,22,23.51,24.44,25.92,23.57,24.45,32,32
Morocco,Yes,NO,12367968,12367968,34,11528903,11528903,25,19.05,19.94,20.7,18.62,17.96,34,34
Mozambique,Yes,YES,10605023,10605023,35,30545743,30545743,35,39.75,43.2,43.17,42.95,42.66,35,35
Namibia,Yes,YES,991900,991900,38,1577588,1577588,32,40.82,38.66,40.11,45.19,45.53,36,36
Niger,Yes,YES,6906638,6906638,31,36027645,36027645,37,0.52,0.54,0.5,0.52,0.53,37,37
Nigeria,Yes,YES,66777309,66777309,34,184806996,184806996,36,9.77,8.52,8.05,13.06,13.41,38,38
Rwanda,Yes,YES,4617618,4617618,37,8021323,8021323,32,3.07,1.89,1.89,2,2.1,41,41
Sahrawi Republic,NA,NO,0,0,0,0,0,0,0,0,0,0,0,56,56
Sao Tome and Principe,No,NO,73677,73677,35,153123,153123,34,20.52,20.51,20.5,20.51,20.6,43,43
Senegal,Yes,YES,5771930,5771930,35,14475544,14475544,34,9.02,7.26,5.3,5.39,5.47,44,44
Seychelles,No,YES,26961,26961,28,23189,23189,25,0,0,0,0,0,45,45
Sierra Leone,Yes,NO,2799362,2799362,36,5039247,5039247,34,9.28,9.51,9.39,9.34,9.04,46,46
Somalia,No,NO,5178056,5178056,34,16992163,16992163,36,0,0,0,0,0,47,47
South Africa,Yes,YES,21337299,21337299,37,22017968,22017968,29,51.43,51.3,50.14,53.36,53.53,48,48
South Sudan,Unclear,NO,4644256,4644256,36,10660167,10660167,35,20.4,18.61,18.23,17.44,17.61,49,49
Sudan,No,NO,14764277,14764277,36,33185385,33185385,34,27.32,27.26,27.29,27.27,27.28,50,50
Tanzania,Yes,YES,20317294,20317294,34,62813607,62813607,35,5.82,3.7,3.7,3.81,3.9,52,52
Togo,Yes,YES,2824605,2824605,35,6356775,6356775,35,2.78,2.78,2.78,2.78,2.79,53,53
Tunisia,No,YES,3811754,3811754,33,3380478,3380478,24,34.53,34.77,35.43,36.35,36.33,54,54
Uganda,Yes,YES,15597094,15597094,35,48785525,48785525,36,2.7,2.7,2.71,2.82,2.91,55,55
Zambia,Yes,YES,6391495,6391495,36,18731999,18731999,35,15.27,15.27,15.23,15.31,15.35,57,57
Zimbabwe,Yes,YES,6441994,6441994,38,11203077,11203077,33,8.32,8.25,8.21,8.19,8.19,58,58
