Day,New organizations,Number of org requests,Total number of orgs,Organizations sharing data,Total number of Datasets,Public datasets,Private datasets,Total number Users registered,Dataset revisions by registered users,Active users,Number of Twitter followers,,,
12/31/2015,4,13,204,134,4452,3615,837,2319,198,8600,3417,,,
1/31/2016,13,19,216,137,4824,3859,965,2538,274,11321,3474,,,
2/29/2016,10,13,226,138,4845,3897,948,2755,489,7251,3555,,,
3/31/2016,7,14,233,150,5402,3997,1405,2904,215,12091,3624,,,
4/30/2016,6,10,240,155,5459,3995,1464,3037,339,13244,3683,,,
5/31/2016,4,18,245,157,5505,4021,1484,3206,427,12305,3871,,,
6/30/2016,5,10,250,160,5562,4066,1496,3321,218,9420,3926,,,
7/31/2016,2,7,233,164,5584,4054,1530,3426,216,9944,4024,,,
8/31/2016,5,10,238,167,5368,4081,1287,3542,371,10145,4144,,,
9/30/2016,4,11,242,167,5694,4146,1548,3681,390,11841,4338,,,
10/31/2016,11,22,253,172,5819,4248,1571,3883,1017,15183,4543,,,
11/30/2016,2,5,255,174,6028,4404,1624,4008,323,13922,4639,,,
12/31/2016,4,11,258,177,6069,4432,1637,4133,267,10448,4738,,,
1/31/2017,5,15,262,179,6105,4405,1700,4286,280,12794,4944,,,
2/28/2017,5,12,267,182,6164,4438,1726,4447,608,14777,5078,,,
3/31/2017,5,15,272,185,6273,4481,1792,4667,1289,15872,5247,,,
4/30/2017,4,13,276,186,6296,4521,1775,4854,581,15978,5362,,,
5/30/2017,10,21,286,188,6409,4622,1787,4994,1351,15570,5474,,,
6/30/2017,1,19,287,190,6692,4903,1789,5129,1357,17282,5583,,,
7/31/2017,5,12,292,195,7097,5474,1623,5284,824,13030,5727,,,
8/31/2017,3,9,295,195,7271,5410,1860,5423,821,13533,5796,,,
9/30/2017,18,30,313,197,7661,5776,1885,5617,1025,17339,5909,,,s
10/31/2017,11,18,324,200,7755,5872,1883,5846,1036,20463,5971,,,
11/30/2017,5,18,329,202,8072,6193,1880,6017,868,21478,6050,,,
12/31/2017,6,12,335,205,8186,6287,1899,6151,1070,16386,6462,,,
